country,country_code_2_digit,country_code_3_digit,reported_date,population,hospital_occupancy_count,ICU_occupancy_count,source
Portugal,PT,PRT,2020-10-24,10276617,1455.0,221.0,Country_Website
Romania,RO,ROU,2020-10-24,19414458,,787.0,Country_Website
Slovakia,SK,SVK,2020-10-24,5450421,920.0,,JRC
Slovenia,SI,SVN,2020-10-24,2080908,450.0,66.0,Country_Github
United Kingdom,UK,GBR,2020-10-24,66647112,8738.0,,Country_Website
Austria,AT,AUT,2020-10-23,8858775,1058.0,158.0,Country_Website
Belgium,BE,BEL,2020-10-23,11455519,4057.0,633.0,Country_Website
Bulgaria,BG,BGR,2020-10-23,7000039,1792.0,112.0,External_Github
Croatia,HR,HRV,2020-10-23,4076246,716.0,,Country_Website
Czechia,CZ,CZE,2020-10-23,10649800,5314.0,772.0,Country_Website
Denmark,DK,DNK,2020-10-23,5806081,125.0,18.0,Country_Website
Estonia,EE,EST,2020-10-23,1324820,27.0,3.0,Country_API
Finland,FI,FIN,2020-10-23,5517919,70.0,11.0,External_Github
France,FR,FRA,2020-10-23,67012883,14985.0,2432.0,Country_Website
Hungary,HU,HUN,2020-10-23,9772756,2209.0,200.0,JRC
Ireland,IE,IRL,2020-10-23,4904240,311.0,38.0,Country_Website
Italy,IT,ITA,2020-10-23,60359546,11598.0,1049.0,Country_Github
Latvia,LV,LVA,2020-10-23,1919968,113.0,,Country_Website
Luxembourg,LU,LUX,2020-10-23,613894,88.0,12.0,Country_Website
Netherlands,NL,NLD,2020-10-23,17282163,,518.0,Other Website
Norway,NO,NOR,2020-10-23,5328212,44.0,,Country_API
Portugal,PT,PRT,2020-10-23,10276617,1418.0,198.0,Country_Website
Romania,RO,ROU,2020-10-23,19414458,,782.0,Country_Website
Slovakia,SK,SVK,2020-10-23,5450421,828.0,,JRC
Slovenia,SI,SVN,2020-10-23,2080908,394.0,66.0,Country_Github
United Kingdom,UK,GBR,2020-10-23,66647112,8412.0,,Country_Website
Austria,AT,AUT,2020-10-22,8858775,1002.0,161.0,Country_Website
Belgium,BE,BEL,2020-10-22,11455519,3649.0,573.0,Country_Website
Bulgaria,BG,BGR,2020-10-22,7000039,1732.0,107.0,External_Github
Croatia,HR,HRV,2020-10-22,4076246,661.0,,Country_Website
Czechia,CZ,CZE,2020-10-22,10649800,5044.0,751.0,Country_Website
Denmark,DK,DNK,2020-10-22,5806081,124.0,17.0,Country_Website
Estonia,EE,EST,2020-10-22,1324820,28.0,2.0,Country_API
France,FR,FRA,2020-10-22,67012883,14009.0,2310.0,Country_Website
Hungary,HU,HUN,2020-10-22,9772756,2132.0,197.0,JRC
Ireland,IE,IRL,2020-10-22,4904240,310.0,37.0,Country_Website
Italy,IT,ITA,2020-10-22,60359546,10686.0,992.0,Country_Github
Latvia,LV,LVA,2020-10-22,1919968,105.0,,Country_Website
Luxembourg,LU,LUX,2020-10-22,613894,86.0,10.0,Country_Website
Netherlands,NL,NLD,2020-10-22,17282163,,508.0,Other Website
Norway,NO,NOR,2020-10-22,5328212,44.0,,Country_API
Poland,PL,POL,2020-10-22,37972812,10091.0,,Country_Website
Portugal,PT,PRT,2020-10-22,10276617,1365.0,200.0,Country_Website
Romania,RO,ROU,2020-10-22,19414458,,778.0,Country_Website
Slovakia,SK,SVK,2020-10-22,5450421,876.0,,JRC
Slovenia,SI,SVN,2020-10-22,2080908,356.0,62.0,Country_Github
United Kingdom,UK,GBR,2020-10-22,66647112,7903.0,,Country_Website
Austria,AT,AUT,2020-10-21,8858775,960.0,147.0,Country_Website
Belgium,BE,BEL,2020-10-21,11455519,3275.0,525.0,Country_Website
Bulgaria,BG,BGR,2020-10-21,7000039,1633.0,93.0,External_Github
Croatia,HR,HRV,2020-10-21,4076246,622.0,,Country_Website
Czechia,CZ,CZE,2020-10-21,10649800,4777.0,735.0,Country_Website
Denmark,DK,DNK,2020-10-21,5806081,122.0,16.0,Country_Website
Estonia,EE,EST,2020-10-21,1324820,32.0,3.0,Country_API
Finland,FI,FIN,2020-10-21,5517919,65.0,7.0,External_Github
France,FR,FRA,2020-10-21,67012883,13162.0,2239.0,Country_Website
Hungary,HU,HUN,2020-10-21,9772756,2023.0,201.0,JRC
Ireland,IE,IRL,2020-10-21,4904240,324.0,35.0,Country_Website
Italy,IT,ITA,2020-10-21,60359546,9983.0,926.0,Country_Github
Latvia,LV,LVA,2020-10-21,1919968,79.0,,Country_Website
Luxembourg,LU,LUX,2020-10-21,613894,69.0,8.0,Country_Website
Netherlands,NL,NLD,2020-10-21,17282163,,493.0,Other Website
Norway,NO,NOR,2020-10-21,5328212,36.0,,Country_API
Poland,PL,POL,2020-10-21,37972812,9439.0,,Country_Website
Portugal,PT,PRT,2020-10-21,10276617,1272.0,187.0,Country_Website
Romania,RO,ROU,2020-10-21,19414458,,766.0,Country_Website
Slovakia,SK,SVK,2020-10-21,5450421,844.0,,JRC
Slovenia,SI,SVN,2020-10-21,2080908,333.0,55.0,Country_Github
United Kingdom,UK,GBR,2020-10-21,66647112,7762.0,,Country_Website
Austria,AT,AUT,2020-10-20,8858775,889.0,145.0,Country_Website
Belgium,BE,BEL,2020-10-20,11455519,2969.0,486.0,Country_Website
Bulgaria,BG,BGR,2020-10-20,7000039,1562.0,88.0,External_Github
Croatia,HR,HRV,2020-10-20,4076246,574.0,,Country_Website
Czechia,CZ,CZE,2020-10-20,10649800,4417.0,657.0,Country_Website
Denmark,DK,DNK,2020-10-20,5806081,128.0,15.0,Country_Website
Estonia,EE,EST,2020-10-20,1324820,28.0,3.0,Country_API
France,FR,FRA,2020-10-20,67012883,12435.0,2168.0,Country_Website
Hungary,HU,HUN,2020-10-20,9772756,1960.0,197.0,JRC
Ireland,IE,IRL,2020-10-20,4904240,315.0,34.0,Country_Website
Italy,IT,ITA,2020-10-20,60359546,9324.0,870.0,Country_Github
Latvia,LV,LVA,2020-10-20,1919968,83.0,,Country_Website
Luxembourg,LU,LUX,2020-10-20,613894,68.0,8.0,Country_Website
Netherlands,NL,NLD,2020-10-20,17282163,,476.0,Other Website
Norway,NO,NOR,2020-10-20,5328212,29.0,,Country_API
Poland,PL,POL,2020-10-20,37972812,8962.0,,Country_Website
Portugal,PT,PRT,2020-10-20,10276617,1237.0,176.0,Country_Website
Romania,RO,ROU,2020-10-20,19414458,,768.0,Country_Website
Slovakia,SK,SVK,2020-10-20,5450421,724.0,,JRC
Slovenia,SI,SVN,2020-10-20,2080908,313.0,55.0,Country_Github
United Kingdom,UK,GBR,2020-10-20,66647112,7501.0,,Country_Website
Austria,AT,AUT,2020-10-19,8858775,799.0,145.0,Country_Website
Belgium,BE,BEL,2020-10-19,11455519,2773.0,446.0,Country_Website
Bulgaria,BG,BGR,2020-10-19,7000039,1500.0,74.0,External_Github
Croatia,HR,HRV,2020-10-19,4076246,571.0,,Country_Website
Czechia,CZ,CZE,2020-10-19,10649800,4064.0,634.0,Country_Website
Denmark,DK,DNK,2020-10-19,5806081,129.0,18.0,Country_Website
Estonia,EE,EST,2020-10-19,1324820,29.0,2.0,Country_API
Finland,FI,FIN,2020-10-19,5517919,62.0,7.0,External_Github
France,FR,FRA,2020-10-19,67012883,11640.0,2090.0,Country_Website
Hungary,HU,HUN,2020-10-19,9772756,1896.0,188.0,JRC
Ireland,IE,IRL,2020-10-19,4904240,298.0,32.0,Country_Website
Italy,IT,ITA,2020-10-19,60359546,8473.0,797.0,Country_Github
Latvia,LV,LVA,2020-10-19,1919968,80.0,,Country_Website
Luxembourg,LU,LUX,2020-10-19,613894,61.0,5.0,Country_Website
Netherlands,NL,NLD,2020-10-19,17282163,,448.0,Other Website
Norway,NO,NOR,2020-10-19,5328212,28.0,,Country_API
Poland,PL,POL,2020-10-19,37972812,8375.0,,Country_Website
Portugal,PT,PRT,2020-10-19,10276617,1174.0,165.0,Country_Website
Romania,RO,ROU,2020-10-19,19414458,,757.0,Country_Website
Slovakia,SK,SVK,2020-10-19,5450421,638.0,,JRC
Slovenia,SI,SVN,2020-10-19,2080908,291.0,56.0,Country_Github
United Kingdom,UK,GBR,2020-10-19,66647112,6991.0,,Country_Website
Austria,AT,AUT,2020-10-18,8858775,742.0,135.0,Country_Website
Belgium,BE,BEL,2020-10-18,11455519,2497.0,412.0,Country_Website
Bulgaria,BG,BGR,2020-10-18,7000039,1484.0,79.0,External_Github
Croatia,HR,HRV,2020-10-18,4076246,548.0,,Country_Website
Czechia,CZ,CZE,2020-10-18,10649800,3721.0,589.0,Country_Website
Denmark,DK,DNK,2020-10-18,5806081,119.0,17.0,Country_Website
Estonia,EE,EST,2020-10-18,1324820,35.0,3.0,Country_API
France,FR,FRA,2020-10-18,67012883,10897.0,1939.0,Country_Website
Hungary,HU,HUN,2020-10-18,9772756,1712.0,179.0,JRC
Ireland,IE,IRL,2020-10-18,4904240,274.0,31.0,Country_Website
Italy,IT,ITA,2020-10-18,60359546,7881.0,750.0,Country_Github
Latvia,LV,LVA,2020-10-18,1919968,72.0,,Country_Website
Luxembourg,LU,LUX,2020-10-18,613894,57.0,4.0,Country_Website
Netherlands,NL,NLD,2020-10-18,17282163,,409.0,Other Website
Poland,PL,POL,2020-10-18,37972812,8076.0,,Country_Website
Portugal,PT,PRT,2020-10-18,10276617,1086.0,155.0,Country_Website
Romania,RO,ROU,2020-10-18,19414458,,749.0,Country_Website
Slovakia,SK,SVK,2020-10-18,5450421,633.0,,JRC
Slovenia,SI,SVN,2020-10-18,2080908,265.0,49.0,Country_Github
United Kingdom,UK,GBR,2020-10-18,66647112,6516.0,,Country_Website
Austria,AT,AUT,2020-10-17,8858775,724.0,130.0,Country_Website
Belgium,BE,BEL,2020-10-17,11455519,2267.0,384.0,Country_Website
Bulgaria,BG,BGR,2020-10-17,7000039,1450.0,76.0,External_Github
Croatia,HR,HRV,2020-10-17,4076246,530.0,,Country_Website
Czechia,CZ,CZE,2020-10-17,10649800,3519.0,587.0,Country_Website
Denmark,DK,DNK,2020-10-17,5806081,110.0,16.0,Country_Website
Estonia,EE,EST,2020-10-17,1324820,32.0,3.0,Country_API
France,FR,FRA,2020-10-17,67012883,10399.0,1868.0,Country_Website
Hungary,HU,HUN,2020-10-17,9772756,1693.0,185.0,JRC
Ireland,IE,IRL,2020-10-17,4904240,260.0,30.0,Country_Website
Italy,IT,ITA,2020-10-17,60359546,7322.0,705.0,Country_Github
Latvia,LV,LVA,2020-10-17,1919968,69.0,,Country_Website
Luxembourg,LU,LUX,2020-10-17,613894,53.0,4.0,Country_Website
Netherlands,NL,NLD,2020-10-17,17282163,,389.0,Other Website
Poland,PL,POL,2020-10-17,37972812,1612.0,,Country_Website
Portugal,PT,PRT,2020-10-17,10276617,1012.0,148.0,Country_Website
Romania,RO,ROU,2020-10-17,19414458,,745.0,Country_Website
Slovakia,SK,SVK,2020-10-17,5450421,614.0,,JRC
Slovenia,SI,SVN,2020-10-17,2080908,250.0,44.0,Country_Github
United Kingdom,UK,GBR,2020-10-17,66647112,6251.0,,Country_Website
Austria,AT,AUT,2020-10-16,8858775,706.0,122.0,Country_Website
Belgium,BE,BEL,2020-10-16,11455519,2099.0,358.0,Country_Website
Bulgaria,BG,BGR,2020-10-16,7000039,1426.0,74.0,External_Github
Croatia,HR,HRV,2020-10-16,4076246,505.0,,Country_Website
Czechia,CZ,CZE,2020-10-16,10649800,3415.0,596.0,Country_Website
Denmark,DK,DNK,2020-10-16,5806081,110.0,16.0,Country_Website
Estonia,EE,EST,2020-10-16,1324820,32.0,3.0,Country_API
Finland,FI,FIN,2020-10-16,5517919,56.0,6.0,External_Github
France,FR,FRA,2020-10-16,67012883,10021.0,1791.0,Country_Website
Hungary,HU,HUN,2020-10-16,9772756,1642.0,171.0,JRC
Ireland,IE,IRL,2020-10-16,4904240,244.0,30.0,Country_Website
Italy,IT,ITA,2020-10-16,60359546,6816.0,638.0,Country_Github
Latvia,LV,LVA,2020-10-16,1919968,63.0,,Country_Website
Luxembourg,LU,LUX,2020-10-16,613894,49.0,4.0,Country_Website
Netherlands,NL,NLD,2020-10-16,17282163,,394.0,Other Website
Norway,NO,NOR,2020-10-16,5328212,28.0,,Country_API
Poland,PL,POL,2020-10-16,37972812,6980.0,,Country_Website
Portugal,PT,PRT,2020-10-16,10276617,1015.0,144.0,Country_Website
Romania,RO,ROU,2020-10-16,19414458,,726.0,Country_Website
Slovakia,SK,SVK,2020-10-16,5450421,540.0,,JRC
Slovenia,SI,SVN,2020-10-16,2080908,240.0,43.0,Country_Github
United Kingdom,UK,GBR,2020-10-16,66647112,6017.0,,Country_Website
Austria,AT,AUT,2020-10-15,8858775,664.0,119.0,Country_Website
Belgium,BE,BEL,2020-10-15,11455519,1951.0,327.0,Country_Website
Bulgaria,BG,BGR,2020-10-15,7000039,1380.0,67.0,External_Github
Croatia,HR,HRV,2020-10-15,4076246,439.0,,Country_Website
Czechia,CZ,CZE,2020-10-15,10649800,3120.0,551.0,Country_Website
Denmark,DK,DNK,2020-10-15,5806081,104.0,17.0,Country_Website
Estonia,EE,EST,2020-10-15,1324820,36.0,3.0,Country_API
France,FR,FRA,2020-10-15,67012883,9584.0,1741.0,Country_Website
Hungary,HU,HUN,2020-10-15,9772756,1555.0,167.0,JRC
Ireland,IE,IRL,2020-10-15,4904240,238.0,29.0,Country_Website
Italy,IT,ITA,2020-10-15,60359546,6382.0,586.0,Country_Github
Latvia,LV,LVA,2020-10-15,1919968,70.0,,Country_Website
Luxembourg,LU,LUX,2020-10-15,613894,41.0,4.0,Country_Website
Netherlands,NL,NLD,2020-10-15,17282163,,358.0,Other Website
Norway,NO,NOR,2020-10-15,5328212,24.0,,Country_API
Poland,PL,POL,2020-10-15,37972812,6538.0,,Country_Website
Portugal,PT,PRT,2020-10-15,10276617,993.0,139.0,Country_Website
Romania,RO,ROU,2020-10-15,19414458,,721.0,Country_Website
Slovakia,SK,SVK,2020-10-15,5450421,476.0,,JRC
Slovenia,SI,SVN,2020-10-15,2080908,222.0,40.0,Country_Github
United Kingdom,UK,GBR,2020-10-15,66647112,5673.0,,Country_Website
Belgium,BE,BEL,2020-10-14,11455519,1778.0,313.0,Country_Website
Bulgaria,BG,BGR,2020-10-14,7000039,1307.0,64.0,External_Github
Croatia,HR,HRV,2020-10-14,4076246,441.0,,Country_Website
Czechia,CZ,CZE,2020-10-14,10649800,2920.0,543.0,Country_Website
Denmark,DK,DNK,2020-10-14,5806081,104.0,17.0,Country_Website
Estonia,EE,EST,2020-10-14,1324820,35.0,3.0,Country_API
Finland,FI,FIN,2020-10-14,5517919,48.0,8.0,External_Github
France,FR,FRA,2020-10-14,67012883,9173.0,1664.0,Country_Website
Hungary,HU,HUN,2020-10-14,9772756,1538.0,156.0,JRC
Ireland,IE,IRL,2020-10-14,4904240,234.0,30.0,Country_Website
Italy,IT,ITA,2020-10-14,60359546,6009.0,539.0,Country_Github
Latvia,LV,LVA,2020-10-14,1919968,75.0,,Country_Website
Luxembourg,LU,LUX,2020-10-14,613894,44.0,4.0,Country_Website
Netherlands,NL,NLD,2020-10-14,17282163,,340.0,Other Website
Norway,NO,NOR,2020-10-14,5328212,23.0,,Country_API
Poland,PL,POL,2020-10-14,37972812,6084.0,,Country_Website
Portugal,PT,PRT,2020-10-14,10276617,957.0,135.0,Country_Website
Romania,RO,ROU,2020-10-14,19414458,,686.0,Country_Website
Slovakia,SK,SVK,2020-10-14,5450421,397.0,,JRC
Slovenia,SI,SVN,2020-10-14,2080908,210.0,35.0,Country_Github
United Kingdom,UK,GBR,2020-10-14,66647112,5376.0,,Country_Website
Belgium,BE,BEL,2020-10-13,11455519,1621.0,281.0,Country_Website
Bulgaria,BG,BGR,2020-10-13,7000039,1221.0,65.0,External_Github
Croatia,HR,HRV,2020-10-13,4076246,424.0,,Country_Website
Czechia,CZ,CZE,2020-10-13,10649800,2678.0,518.0,Country_Website
Denmark,DK,DNK,2020-10-13,5806081,103.0,19.0,Country_Website
Estonia,EE,EST,2020-10-13,1324820,34.0,3.0,Country_API
France,FR,FRA,2020-10-13,67012883,8928.0,1633.0,Country_Website
Hungary,HU,HUN,2020-10-13,9772756,1519.0,160.0,JRC
Ireland,IE,IRL,2020-10-13,4904240,240.0,31.0,Country_Website
Italy,IT,ITA,2020-10-13,60359546,5590.0,514.0,Country_Github
Latvia,LV,LVA,2020-10-13,1919968,70.0,,Country_Website
Luxembourg,LU,LUX,2020-10-13,613894,46.0,3.0,Country_Website
Netherlands,NL,NLD,2020-10-13,17282163,,321.0,Other Website
Norway,NO,NOR,2020-10-13,5328212,27.0,,Country_API
Poland,PL,POL,2020-10-13,37972812,5669.0,,Country_Website
Portugal,PT,PRT,2020-10-13,10276617,916.0,132.0,Country_Website
Romania,RO,ROU,2020-10-13,19414458,,651.0,Country_Website
Slovakia,SK,SVK,2020-10-13,5450421,397.0,,JRC
Slovenia,SI,SVN,2020-10-13,2080908,180.0,31.0,Country_Github
United Kingdom,UK,GBR,2020-10-13,66647112,5030.0,,Country_Website
Belgium,BE,BEL,2020-10-12,11455519,1473.0,268.0,Country_Website
Bulgaria,BG,BGR,2020-10-12,7000039,1205.0,62.0,External_Github
Croatia,HR,HRV,2020-10-12,4076246,404.0,,Country_Website
Czechia,CZ,CZE,2020-10-12,10649800,2503.0,467.0,Country_Website
Denmark,DK,DNK,2020-10-12,5806081,107.0,19.0,Country_Website
Estonia,EE,EST,2020-10-12,1324820,32.0,5.0,Country_API
Finland,FI,FIN,2020-10-12,5517919,46.0,10.0,External_Github
France,FR,FRA,2020-10-12,67012883,8671.0,1539.0,Country_Website
Hungary,HU,HUN,2020-10-12,9772756,1418.0,154.0,JRC
Ireland,IE,IRL,2020-10-12,4904240,221.0,32.0,Country_Website
Italy,IT,ITA,2020-10-12,60359546,5273.0,452.0,Country_Github
Latvia,LV,LVA,2020-10-12,1919968,65.0,,Country_Website
Luxembourg,LU,LUX,2020-10-12,613894,40.0,3.0,Country_Website
Netherlands,NL,NLD,2020-10-12,17282163,,301.0,Other Website
Norway,NO,NOR,2020-10-12,5328212,31.0,,Country_API
Poland,PL,POL,2020-10-12,37972812,5262.0,,Country_Website
Portugal,PT,PRT,2020-10-12,10276617,877.0,128.0,Country_Website
Romania,RO,ROU,2020-10-12,19414458,,628.0,Country_Website
Slovakia,SK,SVK,2020-10-12,5450421,393.0,,JRC
Slovenia,SI,SVN,2020-10-12,2080908,172.0,26.0,Country_Github
United Kingdom,UK,GBR,2020-10-12,66647112,4741.0,,Country_Website
Belgium,BE,BEL,2020-10-11,11455519,1331.0,243.0,Country_Website
Bulgaria,BG,BGR,2020-10-11,7000039,1189.0,59.0,External_Github
Croatia,HR,HRV,2020-10-11,4076246,384.0,,Country_Website
Czechia,CZ,CZE,2020-10-11,10649800,2146.0,426.0,Country_Website
Denmark,DK,DNK,2020-10-11,5806081,102.0,19.0,Country_Website
Estonia,EE,EST,2020-10-11,1324820,32.0,5.0,Country_API
France,FR,FRA,2020-10-11,67012883,8231.0,1483.0,Country_Website
Hungary,HU,HUN,2020-10-11,9772756,1252.0,138.0,JRC
Ireland,IE,IRL,2020-10-11,4904240,201.0,30.0,Country_Website
Italy,IT,ITA,2020-10-11,60359546,4939.0,420.0,Country_Github
Latvia,LV,LVA,2020-10-11,1919968,61.0,,Country_Website
Luxembourg,LU,LUX,2020-10-11,613894,36.0,3.0,Country_Website
Netherlands,NL,NLD,2020-10-11,17282163,,279.0,Other Website
Poland,PL,POL,2020-10-11,37972812,4924.0,,Country_Website
Portugal,PT,PRT,2020-10-11,10276617,843.0,124.0,Country_Website
Romania,RO,ROU,2020-10-11,19414458,,628.0,Country_Website
Slovakia,SK,SVK,2020-10-11,5450421,388.0,,JRC
Slovenia,SI,SVN,2020-10-11,2080908,158.0,27.0,Country_Github
United Kingdom,UK,GBR,2020-10-11,66647112,4465.0,,Country_Website
Belgium,BE,BEL,2020-10-10,11455519,1257.0,226.0,Country_Website
Bulgaria,BG,BGR,2020-10-10,7000039,1131.0,58.0,External_Github
Croatia,HR,HRV,2020-10-10,4076246,382.0,,Country_Website
Czechia,CZ,CZE,2020-10-10,10649800,2106.0,438.0,Country_Website
Denmark,DK,DNK,2020-10-10,5806081,103.0,20.0,Country_Website
Estonia,EE,EST,2020-10-10,1324820,31.0,5.0,Country_API
France,FR,FRA,2020-10-10,67012883,7976.0,1456.0,Country_Website
Hungary,HU,HUN,2020-10-10,9772756,1174.0,110.0,JRC
Ireland,IE,IRL,2020-10-10,4904240,194.0,30.0,Country_Website
Italy,IT,ITA,2020-10-10,60359546,4726.0,390.0,Country_Github
Latvia,LV,LVA,2020-10-10,1919968,52.0,,Country_Website
Luxembourg,LU,LUX,2020-10-10,613894,34.0,2.0,Country_Website
Netherlands,NL,NLD,2020-10-10,17282163,,274.0,Other Website
Poland,PL,POL,2020-10-10,37972812,4725.0,,Country_Website
Portugal,PT,PRT,2020-10-10,10276617,831.0,122.0,Country_Website
Romania,RO,ROU,2020-10-10,19414458,,629.0,Country_Website
Slovakia,SK,SVK,2020-10-10,5450421,380.0,,JRC
Slovenia,SI,SVN,2020-10-10,2080908,149.0,21.0,Country_Github
United Kingdom,UK,GBR,2020-10-10,66647112,4166.0,,Country_Website
Belgium,BE,BEL,2020-10-09,11455519,1189.0,212.0,Country_Website
Bulgaria,BG,BGR,2020-10-09,7000039,1063.0,56.0,External_Github
Croatia,HR,HRV,2020-10-09,4076246,385.0,,Country_Website
Czechia,CZ,CZE,2020-10-09,10649800,2085.0,408.0,Country_Website
Denmark,DK,DNK,2020-10-09,5806081,106.0,18.0,Country_Website
Estonia,EE,EST,2020-10-09,1324820,30.0,5.0,Country_API
Finland,FI,FIN,2020-10-09,5517919,37.0,5.0,External_Github
France,FR,FRA,2020-10-09,67012883,7843.0,1439.0,Country_Website
Hungary,HU,HUN,2020-10-09,9772756,993.0,82.0,JRC
Ireland,IE,IRL,2020-10-09,4904240,179.0,31.0,Country_Website
Italy,IT,ITA,2020-10-09,60359546,4473.0,387.0,Country_Github
Latvia,LV,LVA,2020-10-09,1919968,47.0,,Country_Website
Luxembourg,LU,LUX,2020-10-09,613894,34.0,1.0,Country_Website
Netherlands,NL,NLD,2020-10-09,17282163,,274.0,Other Website
Norway,NO,NOR,2020-10-09,5328212,23.0,,Country_API
Poland,PL,POL,2020-10-09,37972812,4407.0,,Country_Website
Portugal,PT,PRT,2020-10-09,10276617,811.0,125.0,Country_Website
Romania,RO,ROU,2020-10-09,19414458,,613.0,Country_Website
Slovakia,SK,SVK,2020-10-09,5450421,370.0,,JRC
Slovenia,SI,SVN,2020-10-09,2080908,138.0,23.0,Country_Github
United Kingdom,UK,GBR,2020-10-09,66647112,3979.0,,Country_Website
Belgium,BE,BEL,2020-10-08,11455519,1110.0,213.0,Country_Website
Bulgaria,BG,BGR,2020-10-08,7000039,1033.0,53.0,External_Github
Croatia,HR,HRV,2020-10-08,4076246,361.0,,Country_Website
Czechia,CZ,CZE,2020-10-08,10649800,1893.0,412.0,Country_Website
Denmark,DK,DNK,2020-10-08,5806081,115.0,17.0,Country_Website
Estonia,EE,EST,2020-10-08,1324820,36.0,5.0,Country_API
France,FR,FRA,2020-10-08,67012883,7603.0,1418.0,Country_Website
Hungary,HU,HUN,2020-10-08,9772756,804.0,56.0,JRC
Ireland,IE,IRL,2020-10-08,4904240,159.0,25.0,Country_Website
Italy,IT,ITA,2020-10-08,60359546,4283.0,358.0,Country_Github
Latvia,LV,LVA,2020-10-08,1919968,42.0,,Country_Website
Luxembourg,LU,LUX,2020-10-08,613894,24.0,1.0,Country_Website
Netherlands,NL,NLD,2020-10-08,17282163,,257.0,Other Website
Norway,NO,NOR,2020-10-08,5328212,27.0,,Country_API
Poland,PL,POL,2020-10-08,37972812,4138.0,,Country_Website
Portugal,PT,PRT,2020-10-08,10276617,801.0,115.0,Country_Website
Romania,RO,ROU,2020-10-08,19414458,,607.0,Country_Website
Slovakia,SK,SVK,2020-10-08,5450421,352.0,,JRC
Slovenia,SI,SVN,2020-10-08,2080908,131.0,21.0,Country_Github
United Kingdom,UK,GBR,2020-10-08,66647112,3904.0,,Country_Website
Austria,AT,AUT,2020-10-07,8858775,525.0,100.0,Country_Website
Belgium,BE,BEL,2020-10-07,11455519,1050.0,201.0,Country_Website
Bulgaria,BG,BGR,2020-10-07,7000039,971.0,57.0,External_Github
Croatia,HR,HRV,2020-10-07,4076246,344.0,,Country_Website
Czechia,CZ,CZE,2020-10-07,10649800,1741.0,366.0,Country_Website
Denmark,DK,DNK,2020-10-07,5806081,116.0,15.0,Country_Website
Estonia,EE,EST,2020-10-07,1324820,45.0,5.0,Country_API
Finland,FI,FIN,2020-10-07,5517919,31.0,5.0,External_Github
France,FR,FRA,2020-10-07,67012883,7514.0,1406.0,Country_Website
Hungary,HU,HUN,2020-10-07,9772756,656.0,41.0,JRC
Ireland,IE,IRL,2020-10-07,4904240,156.0,27.0,Country_Website
Italy,IT,ITA,2020-10-07,60359546,4119.0,337.0,Country_Github
Latvia,LV,LVA,2020-10-07,1919968,34.0,,Country_Website
Luxembourg,LU,LUX,2020-10-07,613894,22.0,2.0,Country_Website
Netherlands,NL,NLD,2020-10-07,17282163,,251.0,Other Website
Norway,NO,NOR,2020-10-07,5328212,25.0,,Country_API
Poland,PL,POL,2020-10-07,37972812,4000.0,,Country_Website
Portugal,PT,PRT,2020-10-07,10276617,764.0,104.0,Country_Website
Romania,RO,ROU,2020-10-07,19414458,,612.0,Country_Website
